Designator,Footprint,Quantity,Value,LCSC Part #
AJK1,AJK,1,AJK,
C1,C_0603,1,0.1uF,
C2,Hidden,1,0.1uF,
C3,Hidden,1,2.2uF,
C4,Hidden,1,10uF,
D1,MHS190RGBCT,1,LED_BARG,C409798
D2,D_1206,1,D,
D3,Hidden,1,Schottky,
J1,USC16-TR,1,USB-C,
J10,PTSM-HH1-2-RA,1,O8,
J11,PTSM-HH1-2-RA,1,O9,
J12,PTSM-HH1-2-RA,1,O10,
J2,PTSM-HH1-2-RA,1,POWER,
J3,PTSM-HH1-2-RA,1,O1,
J4,PTSM-HH1-2-RA,1,O2,
J5,PTSM-HH1-2-RA,1,O3,
J6,PTSM-HH1-2-RA,1,O4,
J7,PTSM-HH1-2-RA,1,O5,
J8,PTSM-HH1-2-RA,1,O6,
J9,PTSM-HH1-2-RA,1,O7,
L1,Hidden,1,6.8uH,
"R1, R3",R_0603,2,10k,
R10,R_0603,1,100R,
R11,R_0603,1,100k 1% or 0R,
R12,R_0603,1,30k 1% or NF,
R2,R_0603,1,4k7,
"R4, R5",R_0603,2,5K1,
"R6, R7",R_0603,2,27R,
R8,R_0603,1,300R,
R9,R_0603,1,1K,
U1,ESP32-PICO-MINI-02,1,ESP32-PICO-MINI-02,
U2,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,FT231XQ,
"U3, U4, U5, U6, U7",SO-8_3.9x4.9mm_P1.27mm,5,ISL89410,
U8,RegulatorBlockFB,1,LMR16006+FB,
U9,AA,1,AA,
