Designator,Mid X,Mid Y,Rotation,Layer
C1,93.25,-34.0,180,top
C2,103.8,-39.3,0,bottom
C3,103.8,-44.2,180,bottom
C4,77.75,-59.8,0,top
C5,81.05,-58.55,0,top
C6,81.05,-52.3,0,top
C7,74.7,-50.6,0,top
D1,104.0,-41.8,90,bottom
D3,89.0,-47.5,180,top
D4,80.67,-55.42,90,top
D5,88.7,-41.7,225,top
J1,87.5,-56.1,0,top
J2,96.2,-53.3,0,top
J3,101.2,-42.7,90,top
J4,106.4,-39.7,90,bottom
J5,72.1,-53.4,90,bottom
J6,101.2,-57.1,90,top
L1,77.5,-53.8,90,top
R1,77.4,-50.6,0,top
R11,74.0,-58.75,90,top
R12,74.0,-56.0,270,top
R2,91.33,-49.25,0,top
R3,91.25,-50.75,0,top
R4,99.3,-37.08,270,top
R5,85.0,-52.25,180,top
R6,90.0,-52.25,180,top
R7,99.3,-39.75,90,top
U1,79.9,-44.1,0,top
U2,95.1,-38.0,0,top
U3,96.25,-49.5,0,top
U4,96.25,-44.0,0,top
U5,77.5,-57.7,180,top
