Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0603,1,0.1uF,
"C2, C3",C_0603,2,33pF,
C4,C_0603_,1,100nF,C30926
C5,C_0805_,1,2.2uF,C19110
C6,C_0805_,1,10uF,C17024
C7,C_0603,1,10nF,
D1,SOT-363_SC-70-6,1,BAV99S,
D2,MHS190RGBCT,1,LED_BARG,C409798
D3,D_1206,1,D,
D4,D_1206_,1,Schottky,C143805
J1,USC16-TR,1,USB-C,
J2,PTSM-HH-2-RA,1,POWER,
J3,PTSM-HH-8-RA,1,Conn_01x08,
J5,PTSM-HH-5-RA,1,Conn_01x05,
J6,PTSM-HH-2-RA,1,Conn_01x02,
L1,L_4x4_,1,6.8uH,C354575
"R1, R3",R_0603,2,10k,
"R10, R4, R7",R_0603,3,100R,
R11,R_0603,1,100k 1%,C14675
R12,R_0603,1,30k 1%,C100001
R2,R_0603,1,4k7,
"R5, R6",R_0603,2,5K1,
R8,R_0603,1,300R,
R9,R_0603,1,1K,
U1,ESP32-PICO-MINI-02,1,ESP32-PICO-MINI-02,
U2,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,FT231XQ,
"U3, U4",SO-8_3.9x4.9mm_P1.27mm,2,ISL89410,
U5,SOT-23-Thin-6-Reg,1,LMR16006XDDCR,C87080
