"Source:","/Users/adrian/git/SolarSystem/KiCad/Access2.kicad_sch"
"Date:","Tuesday, 22 February 2022 at 10:40:09"
"Tool:","Eeschema (6.0.2-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","65"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","Manufacturer","Note","PARTREV","Part No","STANDARD"
"","","AJK1","AJK","RevK:AJK","RevK:AJK","","","","","Non part, PCB printed","","",""
"","","C1","0.1uF","Device:C","RevK:C_0603","~","","","","","","",""
"","","C2","33pF","Device:C","RevK:C_0603","~","","","","","","",""
"","","C3","33pF","Device:C","RevK:C_0603","~","","","","","","",""
"","","C4","33pF","Device:C","RevK:C_0603","~","","","","","","",""
"","","C5","33pF","Device:C","RevK:C_0603","~","","","","","","",""
"","","C6","33pF","Device:C","RevK:C_0603","~","","","","","","",""
"","","C7","33pF","Device:C","RevK:C_0603","~","","","","","","",""
"","","C8","33pF","Device:C","RevK:C_0603","~","","","","","","",""
"","","C9","0.1uF",":Hidden_3","RevK:Hidden","","","","","X7R or X5R 0603","","",""
"","","C10","2.2uF",":Hidden_4","RevK:Hidden","","","","","0603 or 0805","","",""
"","","C11","10uF",":Hidden_1","RevK:Hidden","","","","","0603 or 0805","","",""
"","","C12","0.1uF",":Hidden_7","RevK:Hidden","","","","","X7R or X5R 0603","","",""
"","","C13","2.2uF",":Hidden_8","RevK:Hidden","","","","","0603 or 0805","","",""
"","","C14","10uF",":Hidden_6","RevK:Hidden","","","","","0603 or 0805","","",""
"","","D1","BAV99S","Diode:BAV99S","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://assets.nexperia.com/documents/data-sheet/BAV99_SER.pdf","","","","","","",""
"","","D2","BAV99S","Diode:BAV99S","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://assets.nexperia.com/documents/data-sheet/BAV99_SER.pdf","","","","","","",""
"","","D3","BAV99S","Diode:BAV99S","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://assets.nexperia.com/documents/data-sheet/BAV99_SER.pdf","","","","","","",""
"","","D4","BAV99S","Diode:BAV99S","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://assets.nexperia.com/documents/data-sheet/BAV99_SER.pdf","","","","","","",""
